CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,16/04/2020,58.9987,55.0668,39.8207,54.5466,52.0303,107.0,5171.0,632.0,7.0,358.0
AN,17/04/2020,67.28699999999999,53.9399,58.1279,49.6451,49.9584,6.0,2055.0,233.0,20.0,26.0
AN,18/04/2020,88.5414,54.6269,46.4426,35.3532,50.6916,40.0,1378.0,70.0,33.0,15.0
AN,19/04/2020,110.6592,55.0446,68.8488,68.7587,53.683,79.0,817.0,84.0,62.0,16.0
AN,20/04/2020,128.2694,54.8547,27.391,65.0209,56.9339,115.0,748.0,129.0,62.0,5.0
AN,21/04/2020,125.1117,54.5694,17.1018,57.9417,53.9721,103.0,836.0,60.0,52.0,26.0
AN,22/04/2020,116.2592,54.6407,55.137,45.0856,50.1166,355.0,7933.0,448.0,4.0,330.0
AR,16/04/2020,80.8453,40.5077,37.4133,56.7513,33.6057,603.0,6409.0,270.0,21.0,171.0
AR,17/04/2020,147.0949,63.4828,38.1691,57.4618,45.8613,702.0,20490.0,2214.0,108.0,436.0
AR,18/04/2020,153.8571,36.3483,37.4773,58.9225,34.1167,153.0,27.0,33.0,58.0,23.0
AR,19/04/2020,100.6239,72.3841,34.4161,64.8651,46.8716,91.0,4452.0,591.0,37.0,296.0
AR,20/04/2020,37.9543,50.2058,36.0937,84.5873,35.3341,37.0,1136.0,71.0,67.0,1.0
AR,21/04/2020,0.0,97.0558,45.373999999999995,91.4962,48.1893,165.0,2397.0,78.0,80.0,37.0
AR,22/04/2020,0.0,50.0174,54.0821,81.9065,37.4862,893.0,9603.0,1152.0,72.0,1021.0
AS,16/04/2020,87.7139,36.4396,45.1792,50.2381,63.3269,86.0,7.0,42.0,50.0,60.0
AS,17/04/2020,90.4233,48.6296,46.2058,38.6305,79.075,74.0,527.0,51.0,36.0,76.0
AS,18/04/2020,84.5469,42.9932,57.3686,46.1112,81.1992,18.0,1710.0,67.0,37.0,44.0
AS,19/04/2020,58.3072,45.6033,49.4552,34.8197,52.4444,131.0,5818.0,429.0,20.0,333.0
AS,20/04/2020,51.4617,43.7842,45.281000000000006,66.2619,19.9347,31.0,1164.0,30.0,55.0,50.0
AS,21/04/2020,62.6074,45.357,51.427,39.8514,50.7546,17.0,5253.0,624.0,11.0,106.0
AS,22/04/2020,101.54299999999999,43.8889,50.8122,54.0237,0.0,23.0,2108.0,190.0,35.0,34.0
IB,16/04/2020,59.0793,8.6889,44.6258,41.9972,58.4181,39.0,1466.0,74.0,35.0,35.0
IB,17/04/2020,65.4006,70.1037,22.7793,51.4914,67.1656,34.0,835.0,130.0,48.0,47.0
IB,18/04/2020,72.8347,0.0,50.9592,63.6888,69.9372,51.0,811.0,109.0,59.0,12.0
IB,19/04/2020,85.6808,24.8821,42.8515,46.3056,75.1067,46.0,879.0,36.0,39.0,7.0
IB,20/04/2020,107.6797,0.0,27.1033,48.1293,72.5043,739.0,8018.0,484.0,8.0,150.0
IB,21/04/2020,80.4178,34.8967,64.6251,55.2088,73.9858,443.0,6484.0,233.0,26.0,126.0
IB,22/04/2020,34.3612,0.0,34.7162,51.1946,74.7446,928.0,21242.0,2271.0,83.0,752.0
CN,16/04/2020,26.146,32.9328,88.4927,65.2907,68.0988,26.0,23.0,84.0,65.0,65.0
CN,17/04/2020,0.0,42.3068,100.99700000000001,49.668,76.4441,0.0,4563.0,532.0,22.0,246.0
CN,18/04/2020,0.0,29.3624,110.7336,77.2458,76.4937,75.0,1183.0,3.0,64.0,18.0
CN,19/04/2020,0.0,37.3244,109.0814,50.2961,76.9202,140.0,2498.0,8.0,40.0,3.0
CN,20/04/2020,0.0,31.2358,84.6734,78.4925,76.87100000000001,834.0,9110.0,1070.0,52.0,869.0
CN,21/04/2020,0.0,37.5521,107.2669,50.895,76.9413,1.0,7.0,104.0,50.0,73.0
CN,22/04/2020,0.45074,35.6939,113.3306,78.7155,76.9235,8.0,550.0,14.0,77.0,47.0
CB,16/04/2020,56.5599,52.0024,40.5049,56.5428,68.9306,29.0,1729.0,84.0,21.0,21.0
CB,17/04/2020,55.6239,43.6036,5.9121,56.9097,41.3452,145.0,5896.0,479.0,20.0,290.0
CB,18/04/2020,54.0474,39.3819,44.8532,57.0117,98.9876,46.0,1187.0,32.0,52.0,23.0
CB,19/04/2020,54.0683,40.1138,75.1853,57.0757,4.2886,46.0,5301.0,602.0,30.0,154.0
CB,20/04/2020,56.1378,40.2588,41.6611,57.0824,30.6668,6.0,2140.0,202.0,18.0,30.0
CB,21/04/2020,57.7648,40.4595,13.6002,57.0902,53.5546,35.0,1480.0,106.0,44.0,23.0
CB,22/04/2020,56.3753,40.6186,21.6409,57.09,0.48103,0.0,897.0,136.0,43.0,20.0
CM,16/04/2020,30.1685,52.5917,64.2094,51.7801,57.0783,4.0,770.0,96.0,47.0,2.0
CM,17/04/2020,0.0,40.4736,55.8161,49.9746,59.049,106.0,871.0,23.0,44.0,35.0
CM,18/04/2020,8.9588,0.0,88.0738,42.4249,65.6385,344.0,8093.0,426.0,19.0,173.0
CM,19/04/2020,15.4205,0.0,21.9035,34.844,96.1189,375.0,6831.0,474.0,6.0,83.0
CM,20/04/2020,21.6653,0.0,15.2878,59.9022,88.5219,1606.0,22013.0,2334.0,68.0,400.0
CM,21/04/2020,19.4873,71.0461,27.599,55.1485,72.3496,17.0,62.0,23.0,55.0,63.0
CM,22/04/2020,14.6206,111.2211,0.0,52.9906,54.7157,84.0,4597.0,636.0,9.0,228.0
CL,16/04/2020,51.4768,31.1063,0.0,47.9866,39.3392,44.0,1209.0,107.0,39.0,10.0
CL,17/04/2020,60.9971,0.0,66.4371,39.7794,26.4011,11.0,2554.0,49.0,25.0,25.0
CL,18/04/2020,46.5099,60.7421,95.2594,36.7867,24.8651,759.0,8537.0,999.0,89.0,1015.0
CL,19/04/2020,71.3496,46.262,0.0,68.8689,17.4156,71.0,2.0,3.0,68.0,17.0
CL,20/04/2020,80.9259,0.0,0.0,0.0,0.0,74.0,611.0,102.0,3.0,93.0
CL,21/04/2020,52.7452,66.1652,10.0287,71.8756,0.0,52.0,1763.0,117.0,55.0,62.0
CL,22/04/2020,89.3006,46.1402,1.7626,0.0,34.2426,61.0,5984.0,489.0,28.0,378.0
CT,16/04/2020,45.3407,68.0375,54.5974,52.1129,65.5786,9.0,1181.0,24.0,42.0,17.0
CT,17/04/2020,54.5721,90.1656,47.207,48.5188,92.6946,110.0,5334.0,640.0,22.0,76.0
CT,18/04/2020,54.222,104.8034,37.7312,46.4892,96.5361,3.0,2112.0,209.0,28.0,42.0
CT,19/04/2020,45.9258,109.0632,44.5605,43.7691,80.4609,33.0,1462.0,76.0,34.0,59.0
CT,20/04/2020,55.2019,114.5756,31.3399,42.8287,0.0,39.0,841.0,129.0,35.0,35.0
CT,21/04/2020,54.9644,118.147,43.7875,46.6111,16.1096,42.0,707.0,119.0,42.0,12.0
CT,22/04/2020,44.9983,118.4531,23.7735,38.4007,53.1695,44.0,806.0,55.0,34.0,23.0
CE,16/04/2020,14.5308,54.8857,47.048,57.8041,0.0,14.0,8083.0,471.0,7.0,125.0
CE,17/04/2020,27.8191,51.5445,60.2862,57.7644,109.9841,27.0,6930.0,438.0,28.0,50.0
CE,18/04/2020,0.0,41.1199,38.3532,57.9655,11.9352,505.0,22194.0,2357.0,3.0,405.0
CE,19/04/2020,0.0,60.9368,77.1758,57.9393,18.723,0.0,51.0,73.0,57.0,12.0
