CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,29-04-2020,81.0,5797.0,716.0,16.0,239.0,84.0,571.0,45.0,31.0,171.0
AN,30-04-2020,130.0,5415.0,715.0,18.0,235.0,57.0,3307.0,424.0,11.0,160.0
AN,01-05-2020,80.0,5105.0,716.0,17.0,257.0,32.0,3673.0,600.0,15.0,222.0
AN,02-05-2020,83.0,5065.0,716.0,16.0,252.0,52.0,4193.0,564.0,10.0,215.0
AN,03-05-2020,77.0,5065.0,717.0,16.0,252.0,64.0,4263.0,561.0,13.0,201.0
AN,04-05-2020,81.0,5050.0,717.0,16.0,252.0,59.0,4160.0,640.0,11.0,173.0
AN,05-05-2020,80.0,5090.0,716.0,17.0,257.0,391.0,2897.0,213.0,24.0,123.0
AR,29-04-2020,30.0,2442.0,258.0,10.0,101.0,653.0,4007.0,49.0,25.0,103.0
AR,30-04-2020,30.0,2435.0,257.0,6.0,76.0,819.0,18118.0,1995.0,159.0,405.0
AR,01-05-2020,32.0,2379.0,255.0,6.0,86.0,32.0,2370.0,251.0,6.0,75.0
AR,02-05-2020,29.0,2389.0,255.0,7.0,87.0,162.0,2135.0,370.0,20.0,255.0
AR,03-05-2020,29.0,2328.0,253.0,7.0,90.0,29.0,1142.0,146.0,10.0,56.0
AR,04-05-2020,27.0,2191.0,240.0,7.0,76.0,138.0,303.0,117.0,4.0,9.0
AR,05-05-2020,32.0,2199.0,238.0,7.0,73.0,861.0,7454.0,968.0,146.0,985.0
AS,29-04-2020,14.0,1838.0,136.0,6.0,25.0,13.0,1795.0,133.0,6.0,22.0
AS,30-04-2020,12.0,1836.0,136.0,7.0,16.0,4.0,1261.0,39.0,5.0,13.0
AS,01-05-2020,14.0,1838.0,134.0,7.0,20.0,88.0,86.0,10.0,2.0,17.0
AS,02-05-2020,14.0,1843.0,131.0,6.0,16.0,175.0,4020.0,347.0,48.0,369.0
AS,03-05-2020,14.0,1837.0,130.0,5.0,15.0,68.0,630.0,55.0,6.0,54.0
AS,04-05-2020,14.0,1843.0,130.0,6.0,16.0,65.0,3455.0,545.0,22.0,140.0
AS,05-05-2020,14.0,1848.0,129.0,6.0,17.0,64.0,303.0,111.0,13.0,17.0
IB,29-04-2020,10.0,1073.0,164.0,3.0,23.0,10.0,401.0,46.0,3.0,0.0
IB,30-04-2020,10.0,1075.0,164.0,3.0,28.0,21.0,170.0,12.0,0.0,8.0
IB,01-05-2020,10.0,1073.0,164.0,3.0,24.0,11.0,262.0,5.0,1.0,33.0
IB,02-05-2020,10.0,1073.0,161.0,3.0,24.0,29.0,170.0,83.0,4.0,44.0
IB,03-05-2020,11.0,1070.0,161.0,3.0,24.0,835.0,6948.0,350.0,53.0,198.0
IB,04-05-2020,10.0,1073.0,161.0,3.0,24.0,513.0,5445.0,136.0,26.0,175.0
IB,05-05-2020,10.0,1074.0,161.0,3.0,27.0,952.0,20168.0,2144.0,131.0,799.0
CN,29-04-2020,13.0,901.0,169.0,2.0,25.0,13.0,892.0,165.0,2.0,22.0
CN,30-04-2020,13.0,900.0,169.0,2.0,25.0,13.0,3705.0,463.0,25.0,297.0
CN,01-05-2020,16.0,900.0,168.0,1.0,26.0,59.0,312.0,61.0,12.0,32.0
