CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,30/04/2020,82.0,5801.0,720.0,18.0,234.0,83.0,575.0,49.0,29.0,176.0
AR,30/04/2020,35.0,2427.0,258.0,4.0,106.0,38.0,319.0,33.0,25.0,31.0
AS,30/04/2020,7.0,1851.0,136.0,6.0,27.0,41.0,419.0,20.0,4.0,8.0
CB,30/04/2020,25.0,1001.0,79.0,3.0,81.0,6.0,129.0,73.0,3.0,44.0
CE,30/04/2020,0.0,10.0,4.0,0.0,5.0,13.0,792.0,152.0,3.0,46.0
CL,30/04/2020,143.0,7773.0,520.0,25.0,120.0,121.0,6883.0,443.0,20.0,41.0
CM,30/04/2020,112.0,8484.0,582.0,40.0,147.0,359.0,497.0,79.0,1.0,233.0
CN,30/04/2020,16.0,895.0,173.0,3.0,42.0,667.0,5554.0,134.0,32.0,162.0
CT,30/04/2020,556.0,26193.0,2737.0,92.0,667.0,293.0,5640.0,485.0,73.0,186.0
EX,30/04/2020,10.0,1508.0,107.0,6.0,78.0,10.0,1499.0,103.0,6.0,67.0
GA,30/04/2020,125.0,2736.0,212.0,85.0,2256.0,66.0,1788.0,413.0,58.0,1914.0
IB,30/04/2020,10.0,1072.0,166.0,4.0,30.0,10.0,114.0,59.0,13.0,4.0
MC,30/04/2020,5.0,632.0,106.0,1.0,60.0,160.0,1862.0,17.0,10.0,25.0
MD,30/04/2020,444.0,37271.0,3087.0,61.0,440.0,449.0,27618.0,1881.0,92.0,618.0
ML,30/04/2020,1.0,44.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0
NC,30/04/2020,25.0,1945.0,130.0,10.0,94.0,9.0,1370.0,33.0,8.0,91.0
PV,30/04/2020,66.0,6488.0,538.0,19.0,430.0,36.0,4736.0,414.0,10.0,393.0
RI,30/04/2020,20.0,1401.0,86.0,4.0,25.0,169.0,4462.0,392.0,50.0,360.0
VC,30/04/2020,41.0,5052.0,659.0,16.0,198.0,41.0,3845.0,584.0,5.0,129.0
AN,01/05/2020,178.0,5445.0,692.0,35.0,264.0,99.0,147.0,17.0,7.0,108.0
AR,01/05/2020,69.0,2213.0,281.0,18.0,79.0,9.0,62.0,41.0,1.0,45.0
AS,01/05/2020,29.0,1585.0,125.0,7.0,28.0,9.0,111.0,7.0,1.0,5.0
CB,01/05/2020,20.0,936.0,77.0,9.0,74.0,11.0,31.0,75.0,6.0,54.0
CE,01/05/2020,1.0,9.0,4.0,0.0,7.0,20.0,802.0,155.0,4.0,50.0
