Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
142,51,665,5944,70
869,105,211,2660,40
41,44,91,1993,67
73,57,75,980,46
86,55,55,49,55
263,22,491,7962,138
225,41,537,8516,357
39,62,124,840,50
1059,173,2632,26117,1601
219,103,63,1494,120
47,1,62,2885,204
50,56,124,1062,37
41,51,80,621,59
1064,89,1154,9887,945
54,64,48,3,64
177,99,71,2018,39
619,51,535,6673,167
31,45,39,1390,56
447,21,620,5193,37
441,41,712,6103,142
329,37,212,2849,24
28,65,93,2068,86
243,67,27,987,100
97,39,55,49,33
185,41,522,8455,674
365,9,557,8645,312
59,66,141,880,126
801,116,2683,27112,1417
389,41,43,1586,81
40,69,90,2943,246
60,48,125,1098,48
163,19,91,621,58
952,95,1160,10164,934
34,55,41,36,60
144,89,76,2064,36
889,42,494,7296,84
28,128,51,1453,50
668,109,626,5255,110
143,44,741,6327,115
159,65,231,2768,98
32,16,101,2198,91
56,33,44,1002,15
73,0,54,50,1
196,21,510,8554,132
188,24,572,8780,277
83,66,138,918,38
984,174,2909,28091,1426
183,94,98,1682,59
34,39,73,2960,146
59,54,121,1143,58
108,58,98,619,56
928,113,1115,10176,797
10,119,37,24,72
43,89,81,2097,91
320,32,546,7358,96
48,58,56,1496,48
747,35,627,5375,57
537,34,760,6260,230
332,66,242,2870,31
32,60,93,2295,56
252,83,49,1050,57
66,5,55,50,1
93,44,527,8570,510
237,39,605,8736,242
117,60,154,939,100
946,143,2917,27819,1658
297,41,92,1769,99
32,36,48,2992,322
52,67,117,1201,38
90,39,97,614,66
1063,115,1154,10383,751
29,0,36,26,48
298,61,85,2184,58
816,54,518,7517,219
27,73,50,1539,96
200,86,639,5634,164
1051,58,753,6482,162
85,133,250,2798,91
46,51,126,2393,89
102,12,37,1190,85
79,78,55,50,0
231,27,512,8757,345
527,35,635,8956,228
110,62,162,945,24
402,50,2910,32268,1430
91,88,97,1839,56
50,52,68,3011,166
34,74,113,1194,65
121,13,91,618,51
673,109,1161,10527,632
35,120,34,76,50
120,84,83,2216,126
1415,58,596,7624,45
29,9,94,1596,53
260,20,648,5530,70
149,54,770,6344,145
71,51,235,2907,99
48,65,112,2543,82
203,35,81,1224,38
90,100,55,50,46
99,59,537,8867,196
271,46,692,8907,307
147,60,185,951,116
1710,172,3326,32794,1406
78,35,103,1880,32
41,75,58,3029,129
146,51,106,1191,74
181,105,64,619,65
1030,164,7579,100158,752
27,73,35,127,49
33,88,90,2199,131
345,78,555,7731,18
78,42,98,1622,62
140,120,685,5750,86
213,60,789,6740,164
140,83,242,3012,143
38,32,177,2680,104
21,11,52,1275,69
88,50,55,50,20
135,47,570,9528,150
496,50,742,9281,405
134,45,169,1029,36
681,67,3501,35011,1636
117,97,99,1982,102
48,10,136,3160,75
65,45,108,1265,62
151,52,31,640,62
1200,190,7621,99648,898
26,122,33,79,50
81,110,89,2262,55
310,67,595,7999,63
79,30,94,1691,96
244,31,715,5862,106
