CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,18/04/2020,119.0,5237.0,672.0,30.0,357,45,187,15,4,189
AR,18/04/2020,78.0,2126.0,257.0,33.0,72,21,90,11,15,18
AS,18/04/2020,25.0,1448.0,116.0,10.0,60,13,123,4,1,39
CB,18/04/2020,70.0,866.0,75.0,6.0,115,70,58,3,2,39
CE,18/04/2020,1.0,7.0,4.0,0.0,38,1,2,0,0,32
CL,18/04/2020,487.0,6539.0,373.0,35.0,304,487,442,125,6,145
CM,18/04/2020,545.0,6464.0,483.0,57.0,397,545,1673,35,7,272
CN,18/04/2020,24.0,804.0,156.0,3.0,101,12,21,6,1,97
CT,18/04/2020,999.0,21230.0,2256.0,138.0,846,494,1005,139,84,430
EX,18/04/2020,35.0,1214.0,106.0,13.0,63,25,64,1,9,32
GA,18/04/2020,98.0,2435.0,120.0,11.0,118,3,155,8,1,89
IB,18/04/2020,40.0,903.0,152.0,10.0,87,24,52,8,3,52
MC,18/04/2020,12.0,572.0,99.0,2.0,107,4,40,3,1,93
MD,18/04/2020,815.0,9146.0,1088.0,140.0,1480,331,855,35,33,642
ML,18/04/2020,2.0,40.0,3.0,0.0,19,2,4,0,0,5
NC,18/04/2020,36.0,1789.0,125.0,40.0,85,28,54,2,25,47
PV,18/04/2020,212.0,5086.0,441.0,35.0,438,34,1000,58,7,22
RI,18/04/2020,32.0,1223.0,77.0,9.0,134,21,45,2,4,95
VC,18/04/2020,86.0,4645.0,624.0,38.0,498,13,136,19,15,257
AN,19/04/2020,112.0,5171.0,669.0,26.0,320,18,302,21,6,207
AR,19/04/2020,74.0,2139.0,251.0,34.0,87,28,105,3,16,84
AS,19/04/2020,29.0,1451.0,116.0,10.0,73,20,148,6,6,70
CB,19/04/2020,73.0,870.0,75.0,6.0,115,49,64,3,1,99
CE,19/04/2020,1.0,6.0,4.0,0.0,36,1,3,0,0,21
CL,19/04/2020,536.0,6456.0,369.0,35.0,391,399,624,132,0,287
CM,19/04/2020,627.0,6533.0,484.0,61.0,396,490,1640,47,3,181
CN,19/04/2020,23.0,801.0,157.0,4.0,100,3,25,6,4,76
CT,19/04/2020,1008.0,21308.0,2291.0,130.0,901,220,1067,118,54,658
EX,19/04/2020,63.0,1211.0,105.0,16.0,92,44,95,2,11,1
GA,19/04/2020,94.0,2430.0,113.0,10.0,123,20,179,5,4,111
IB,19/04/2020,38.0,906.0,152.0,9.0,86,29,57,9,7,74
MC,19/04/2020,12.0,572.0,99.0,3.0,122,10,40,4,2,112
MD,19/04/2020,632.0,8875.0,1060.0,140.0,1474,426,684,51,28,1025
ML,19/04/2020,1.0,39.0,3.0,0.0,38,1,5,0,0,36
NC,19/04/2020,42.0,1757.0,126.0,40.0,87,6,99,2,24,44
PV,19/04/2020,182.0,4832.0,435.0,31.0,477,124,1277,66,12,325
RI,19/04/2020,34.0,1200.0,75.0,9.0,132,6,82,4,1,115
VC,19/04/2020,86.0,4626.0,611.0,39.0,509,35,201,35,25,427
AN,20/04/2020,111.0,5156.0,669.0,30.0,334,3,353,23,26,152
AR,20/04/2020,76.0,2073.0,247.0,34.0,35,46,198,3,28,31
