CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,20/02/2020,0,0,0,0,0
AR,20/02/2020,0,0,0,0,0
AS,20/02/2020,0,0,0,0,0
CB,20/02/2020,0,0,0,0,0
CE,20/02/2020,0,0,0,0,0
CL,20/02/2020,0,0,0,0,0
CM,20/02/2020,0,0,0,0,0
CN,20/02/2020,0,0,0,0,0
CT,20/02/2020,0,0,0,0,0
EX,20/02/2020,0,0,0,0,0
GA,20/02/2020,0,0,0,0,0
IB,20/02/2020,0,0,0,0,0
MC,20/02/2020,0,0,0,0,0
MD,20/02/2020,0,0,0,0,0
ML,20/02/2020,0,0,0,0,0
NC,20/02/2020,0,0,0,0,0
PV,20/02/2020,0,0,0,0,0
RI,20/02/2020,0,0,0,0,0
VC,20/02/2020,0,26,0,0,0
AN,21/02/2020,0,0,0,0,0
AR,21/02/2020,0,0,0,0,0
AS,21/02/2020,0,0,0,0,0
CB,21/02/2020,0,0,0,0,0
CE,21/02/2020,0,0,0,0,0
CL,21/02/2020,0,0,0,0,0
CM,21/02/2020,0,0,0,0,0
CN,21/02/2020,0,0,0,0,0
CT,21/02/2020,0,0,0,0,0
EX,21/02/2020,0,0,0,0,0
GA,21/02/2020,0,0,0,0,0
IB,21/02/2020,0,0,0,0,0
MC,21/02/2020,0,0,0,0,0
MD,21/02/2020,0,0,0,0,0
ML,21/02/2020,0,0,0,0,0
NC,21/02/2020,0,0,0,0,0
PV,21/02/2020,0,0,0,0,0
RI,21/02/2020,0,0,0,0,0
VC,21/02/2020,0,30,1,0,0
AN,22/02/2020,0,0,0,0,0
AR,22/02/2020,0,0,0,0,0
AS,22/02/2020,0,0,0,0,0
CB,22/02/2020,0,0,0,0,0
CE,22/02/2020,0,0,0,0,0
CL,22/02/2020,0,0,0,0,0
CM,22/02/2020,0,0,0,0,0
CN,22/02/2020,0,0,0,0,0
CT,22/02/2020,0,0,0,0,0
EX,22/02/2020,0,0,0,0,0
