CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,15/04/2020,165,5226,671,47,410
AR,15/04/2020,73,2108,291,29,75
AS,15/04/2020,48,1432,116,2,35
IB,15/04/2020,31,872,152,6,37
CN,15/04/2020,13,802,156,3,51
CB,15/04/2020,22,890,77,5,79
CM,15/04/2020,471,7987,503,41,380
CL,15/04/2020,683,6449,307,35,204
CT,15/04/2020,849,20553,2252,165,481
CE,15/04/2020,0,9,4,0,11
VC,15/04/2020,191,4524,625,27,342
EX,15/04/2020,0,1186,107,17,34
GA,15/04/2020,165,2494,123,11,85
MD,15/04/2020,893,9653,1206,153,1058
ML,15/04/2020,1,43,3,0,3
MC,15/04/2020,16,575,97,2,3
NC,15/04/2020,102,1752,124,9,37
PV,15/04/2020,189,5863,478,54,385
RI,15/04/2020,82,1207,75,11,69
AN,16/04/2020,79,5298,675,28,156
AR,16/04/2020,78,2151,240,19,34
AS,16/04/2020,20,1474,118,6,23
IB,16/04/2020,31,905,152,3,20
CN,16/04/2020,21,811,159,4,57
CB,16/04/2020,39,903,78,7,68
CM,16/04/2020,846,8018,511,56,222
CL,16/04/2020,523,6518,297,29,199
CT,16/04/2020,962,21242,2305,134,826
CE,16/04/2020,0,9,4,0,3
VC,16/04/2020,0,4605,632,27,322
EX,16/04/2020,75,1212,107,13,58
GA,16/04/2020,140,2535,117,10,73
MD,16/04/2020,834,9141,1154,130,945
ML,16/04/2020,1,44,3,0,3
MC,16/04/2020,8,585,99,1,29
NC,16/04/2020,85,1781,124,77,47
PV,16/04/2020,200,5939,484,36,331
RI,16/04/2020,8,1226,76,5,75
AN,17/04/2020,100,5341,677,27,158
AR,17/04/2020,62,2180,243,39,0
AS,17/04/2020,22,1520,119,13,30
IB,17/04/2020,56,937,157,14,20
CN,17/04/2020,26,822,160,4,55
CB,17/04/2020,106,911,78,5,24
CM,17/04/2020,352,8093,514,61,238
CL,17/04/2020,390,6831,495,28,179
CT,17/04/2020,1627,22013,2349,127,488
CE,17/04/2020,2,9,4,0,9
VC,17/04/2020,98,4708,636,43,282
EX,17/04/2020,7,1240,107,8,29
GA,17/04/2020,71,2554,115,14,51
MD,17/04/2020,805,8597,1094,125,1039
ML,17/04/2020,0,44,3,0,0
MC,17/04/2020,6,611,102,3,93
NC,17/04/2020,0,1829,127,16,62
PV,17/04/2020,150,6030,490,28,412
RI,17/04/2020,36,1249,78,10,48
AN,18/04/2020,164,5424,687,26,168
AR,18/04/2020,57,2216,246,18,54
AS,18/04/2020,12,1571,120,9,21
IB,18/04/2020,16,955,160,7,35
CN,18/04/2020,12,825,162,4,4
CB,18/04/2020,0,924,78,4,76
CM,18/04/2020,0,8137,518,50,125
CL,18/04/2020,0,6981,498,29,159
CT,18/04/2020,505,22235,2395,54,416
CE,18/04/2020,0,9,4,0,6
VC,18/04/2020,73,4781,643,23,241
EX,18/04/2020,10,1278,107,4,31
GA,18/04/2020,101,2590,112,12,29
MD,18/04/2020,484,8291,1123,107,838
ML,18/04/2020,0,44,3,0,14
MC,18/04/2020,8,612,102,1,14
NC,18/04/2020,64,1843,127,15,38
PV,18/04/2020,178,6086,499,42,416
RI,18/04/2020,53,1268,79,5,39
AN,19/04/2020,94,5473,690,20,113
AR,19/04/2020,46,2244,248,18,3
AS,19/04/2020,9,1599,122,4,3
IB,19/04/2020,9,963,161,2,12
CN,19/04/2020,20,826,163,0,24
CB,19/04/2020,24,934,78,5,16
CM,19/04/2020,137,8173,531,58,215
CL,19/04/2020,137,7080,501,35,104
CT,19/04/2020,1228,22375,2409,76,243
CE,19/04/2020,0,9,4,0,15
VC,19/04/2020,51,4827,646,14,82
EX,19/04/2020,19,1306,107,5,91
GA,19/04/2020,114,2609,108,6,12
MD,19/04/2020,206,8191,1111,112,449
ML,19/04/2020,0,44,3,0,2
MC,19/04/2020,2,612,103,1,10
NC,19/04/2020,36,1856,128,16,131
PV,19/04/2020,58,6109,501,19,152
RI,19/04/2020,28,1282,79,8,17
AN,20/04/2020,108,5509,692,4,182
AR,20/04/2020,30,2271,250,6,4
AS,20/04/2020,10,1626,122,2,17
IB,20/04/2020,18,986,161,4,0
CN,20/04/2020,18,837,164,1,65
CB,20/04/2020,25,948,78,7,20
CM,20/04/2020,211,8199,534,54,64
CL,20/04/2020,170,7174,503,28,63
CT,20/04/2020,1436,22796,2437,143,512
CE,20/04/2020,0,9,4,0,0
VC,20/04/2020,42,4866,648,10,90
