CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,17/04/2020,106,1387,189,50,149
AR,17/04/2020,76,609,104,34,37
AS,17/04/2020,42,396,71,31,34
CB,17/04/2020,60,282,58,38,57
CE,17/04/2020,20,39,35,50,28
CL,17/04/2020,325,1712,124,46,113
CM,17/04/2020,345,1869,167,52,163
CN,17/04/2020,35,248,71,39,51
CT,17/04/2020,581,5494,583,74,330
EX,17/04/2020,59,351,53,44,30
GA,17/04/2020,101,672,61,43,55
IB,17/04/2020,47,284,73,33,48
MC,17/04/2020,29,181,44,38,56
MD,17/04/2020,458,2495,329,81,563
ML,17/04/2020,25,60,30,37,14
NC,17/04/2020,75,506,71,58,39
PV,17/04/2020,168,1456,140,43,164
RI,17/04/2020,48,359,66,42,64
VC,17/04/2020,75,1209,187,54,198
AN,18/04/2020,105,1365,162,51,133
AR,18/04/2020,76,593,102,61,51
AS,18/04/2020,42,407,68,76,44
CB,18/04/2020,61,267,58,42,57
CE,18/04/2020,19,54,60,46,27
CL,18/04/2020,339,1703,123,50,187
CM,18/04/2020,369,1852,169,45,162
CN,18/04/2020,29,244,69,38,52
CT,18/04/2020,583,5504,597,60,349
EX,18/04/2020,71,359,25,44,54
GA,18/04/2020,110,671,83,43,59
IB,18/04/2020,41,271,43,21,47
MC,18/04/2020,30,193,76,32,62
MD,18/04/2020,388,2440,303,82,562
ML,18/04/2020,26,71,30,35,31
NC,18/04/2020,81,509,72,59,41
PV,18/04/2020,163,1417,132,32,185
RI,18/04/2020,51,367,71,43,63
VC,18/04/2020,74,1208,205,70,207
AN,19/04/2020,90,1361,162,43,148
AR,19/04/2020,71,634,102,8,12
AS,19/04/2020,36,379,59,2,40
CB,19/04/2020,55,305,58,43,57
CE,19/04/2020,24,30,39,68,27
CL,19/04/2020,316,1723,121,43,92
CM,19/04/2020,358,1866,176,51,199
CN,19/04/2020,19,240,72,36,63
CT,19/04/2020,601,5481,588,53,435
EX,19/04/2020,45,339,28,43,59
GA,19/04/2020,111,665,31,43,65
IB,19/04/2020,34,285,36,19,39
MC,19/04/2020,29,184,22,23,72
MD,19/04/2020,531,2483,330,83,561
ML,19/04/2020,26,73,38,36,1
NC,19/04/2020,63,505,71,59,51
PV,19/04/2020,140,1383,134,10,222
RI,19/04/2020,57,380,72,43,58
VC,19/04/2020,65,1210,160,85,190
AN,20/04/2020,115,1371,169,56,123
AR,20/04/2020,76,559,105,45,31
AS,20/04/2020,52,430,43,77,47
CB,20/04/2020,59,237,58,38,58
CE,20/04/2020,12,91,71,37,28
CL,20/04/2020,344,1719,124,48,178
CM,20/04/2020,362,2009,176,79,152
CN,20/04/2020,11,243,78,29,56
CT,20/04/2020,624,5482,602,51,416
EX,20/04/2020,70,351,97,41,32
GA,20/04/2020,102,654,130,43,64
IB,20/04/2020,26,279,50,15,34
MC,20/04/2020,29,179,100,29,51
MD,20/04/2020,470,2417,305,81,572
ML,20/04/2020,26,59,47,37,30
NC,20/04/2020,82,502,71,59,68
PV,20/04/2020,159,1377,136,35,229
RI,20/04/2020,57,376,49,43,59
VC,20/04/2020,69,1214,208,81,204
AN,21/04/2020,109,1359,182,49,198
AR,21/04/2020,75,615,105,11,25
AS,21/04/2020,54,367,32,2,36
CB,21/04/2020,53,288,58,47,57
CE,21/04/2020,11,1,37,93,33
CL,21/04/2020,320,1734,126,45,112
CM,21/04/2020,360,1908,178,105,185
CN,21/04/2020,11,244,82,12,46
CT,21/04/2020,581,5509,587,45,372
EX,21/04/2020,33,320,54,41,60
GA,21/04/2020,116,652,29,43,57
IB,21/04/2020,25,288,86,17,45
MC,21/04/2020,36,188,22,49,49
MD,21/04/2020,515,2479,309,79,564
ML,21/04/2020,26,53,44,37,1
NC,21/04/2020,81,503,71,59,47
PV,21/04/2020,154,1403,145,31,190
RI,21/04/2020,61,361,43,43,62
VC,21/04/2020,73,1206,177,52,200
AN,22/04/2020,102,1369,161,55,106
AR,22/04/2020,79,538,102,46,23
AS,22/04/2020,50,401,60,72,72
CB,22/04/2020,69,228,58,54,57
CE,22/04/2020,0,129,54,29,34
CL,22/04/2020,325,1741,124,48,177
CM,22/04/2020,418,1883,178,75,142
CN,22/04/2020,14,242,70,7,66
CT,22/04/2020,600,5515,598,44,353
EX,22/04/2020,86,318,24,41,56
GA,22/04/2020,108,645,109,43,69
IB,22/04/2020,23,265,99,18,13
MC,22/04/2020,30,189,68,41,45
MD,22/04/2020,433,2382,312,79,525
ML,22/04/2020,26,53,25,37,28
NC,22/04/2020,73,503,71,59,62
PV,22/04/2020,203,1384,139,24,209
RI,22/04/2020,58,342,59,42,61
VC,22/04/2020,77,1210,167,55,211
AN,23/04/2020,110,1352,154,41,175
AR,23/04/2020,81,609,101,7,21
AS,23/04/2020,42,357,47,2,44
CB,23/04/2020,68,281,57,48,56
CE,23/04/2020,26,1,41,92,19
CL,23/04/2020,306,1724,125,45,111
CM,23/04/2020,371,1880,177,63,175
CN,23/04/2020,30,240,71,9,37
CT,23/04/2020,618,5497,584,42,352
EX,23/04/2020,53,312,23,41,36
GA,23/04/2020,119,651,29,44,71
IB,23/04/2020,25,269,98,19,50
MC,23/04/2020,46,180,22,43,49
MD,23/04/2020,503,2477,305,78,531
ML,23/04/2020,26,61,16,36,1
NC,23/04/2020,84,497,71,59,49
PV,23/04/2020,147,1422,141,10,208
RI,23/04/2020,60,356,18,43,62
VC,23/04/2020,74,1198,157,61,200
