CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,02-May-2020,2238.778,-12.3876,34.3376,15.7973,12254.6628
AR,02-May-2020,831.455,0.099984,14.425,2.1177,6484.4493
AS,02-May-2020,561.9985,1.1548,39.929,4.3956,2308.2684
IB,02-May-2020,79.3593,8.702,9.0878,1.3588,1256.4249
CN,02-May-2020,,3.1774,5.3049,0.28518,2145.0783
CB,02-May-2020,458.9106,5.0806,1.668,0.15288,2207.725
CM,02-May-2020,5530.7545,23.1529,129.9477,6.994,15490.8323
CL,02-May-2020,3869.8863,20.1216,58.1546,4.3024,16358.9
CT,02-May-2020,1027,-42.8864,384.0786,2.9574,49944.5753
CE,02-May-2020,47.5257,0.64583,0.0104,0.051987,100.2957
VC,02-May-2020,1845.4994,-3.0421,29.3079,0.0094369,10428.5941
EX,02-May-2020,1124.8113,1.7449,30.4032,0.13794,2846.1259
GA,02-May-2020,870.9918,29.9637,3.3754,1.2347,9793.7199
MD,02-May-2020,3645.4161,-101.2477,835.336,22.1345,61993.2981
ML,02-May-2020,10.9886,2.7866,0.19056,0.037732,114.8941
MC,02-May-2020,412.9295,11.7917,1.4478,1.2294,1407.232
NC,02-May-2020,1586.9949,5.135,17.579,0.94875,4839.9259
PV,02-May-2020,3346.6598,10.1953,69.5846,5.8027,5737.8038
RI,02-May-2020,1298.2737,11.4969,8.8774,4.2462,3779.2308
AN,03-May-2020,2002.9229,39.1781,100.1945,6.8845,12144.202
AR,03-May-2020,131.1356,4.5977,17.3668,1.0141,4661.6909
AS,03-May-2020,519.6593,0.79266,39.9729,2.5256,2296.9422
IB,03-May-2020,90.9588,0.12532,6.8363,8.2646,1898.0752
CN,03-May-2020,,21.6144,16.0596,6.2859,2230.5402
CB,03-May-2020,388.2308,2.6869,1.5582,0.11928,2100.7548
CM,03-May-2020,5312.2501,2.2431,248.0713,8.8929,15940.9253
CL,03-May-2020,3654.7317,4.339,64.5278,7.2394,17216.1004
CT,03-May-2020,1027,25.173,273.3142,26.7032,50226.9461
CE,03-May-2020,52.3627,0.7347,0.14287,0.055359,101.0206
VC,03-May-2020,2141.8327,-17.7603,27.825,7.3581,10370.791
EX,03-May-2020,821.2381,16.2748,7.9583,0.78788,2837.5556
GA,03-May-2020,871,5.1869,12.2494,6.386,8322.3163
MD,03-May-2020,4565.9534,8.0707,487.8636,61.8584,62256.7259
ML,03-May-2020,11.5341,3.1572,0.48589,0.31205,114.476
MC,03-May-2020,-850.5643,12.9875,2.5843,1.6133,1469.385
NC,03-May-2020,1509.613,1.1279,1.4547,0.39856,4775.1148
PV,03-May-2020,2540.2573,-48.9078,55.1782,6.4629,12758.6383
RI,03-May-2020,1301.1216,-21.2117,16.3484,0.60446,3954.1982
AN,04-May-2020,2314.207,-0.055882,25.2657,7.9055,12340.5074
AR,04-May-2020,1016.8537,2.0996,33.4619,0.89075,4485.2878
AS,04-May-2020,570.5944,-3.6827,39.7696,3.0063,2238.3087
IB,04-May-2020,76.9621,0.5152,5.5656,0.83689,1838.8724
CN,04-May-2020,,0.59932,9.2821,0.34404,2242.1826
CB,04-May-2020,379.8387,4.8643,1.4611,0.42229,2218.5937
CM,04-May-2020,4962.4318,189.498,134.9796,9.1568,15574.6075
CL,04-May-2020,3934.5004,10.1041,94.3101,-0.50144,17219.0667
CT,04-May-2020,1023.6451,-1.2037,450.8546,32.0046,49811.3916
CE,04-May-2020,51.5969,1.3701,-0.22908,-0.0046393,100.739
VC,04-May-2020,2305.2641,15.1054,32.0238,40.7102,10065.8334
EX,04-May-2020,798.2475,4.2786,23.6934,0.42978,2735.9304
GA,04-May-2020,869.7854,-2.3975,19.3876,5.6676,8891.7655
MD,04-May-2020,4777.3957,514.319,834.0335,124.7102,61974.336
ML,04-May-2020,10.9657,3.3056,0.39387,0.055556,25.5763
MC,04-May-2020,368.7937,5.1881,3.6758,2.0823,-450.0057
NC,04-May-2020,1617.4435,1.7266,15.7821,0.037028,4914.9685
PV,04-May-2020,3387.5233,33.3871,69.2394,8.6605,12882.1364
RI,04-May-2020,1295.9159,4.0737,10.8256,0.50865,3946.6515
AN,08-May-2020,1359.1671,-2.858,39.9328,10.63,11614.2285
AR,08-May-2020,1054.6098,21.1036,25.4482,4.0342,5135.0093
AS,08-May-2020,448.135,1.7899,38.7277,0.21543,2264.3799
IB,08-May-2020,67.1512,-10.4618,6.2618,0.84277,1886.2982
CN,08-May-2020,,0.52086,4.5973,0.87242,2182.3365
CB,08-May-2020,393.4825,1.023,1.025,0.32343,2113
CM,08-May-2020,5412.7302,90.3293,125.3421,7.049,15974.4189
CL,08-May-2020,3876.7953,6.2651,56.2109,4.9746,17281.9978
CT,08-May-2020,1031.8363,33.144,378.0733,34.4897,9205.7797
CE,08-May-2020,50.4754,0.31246,0.29125,0.037037,100.2635
VC,08-May-2020,1237.3344,128.22,29.6902,9.2242,14225.7134
EX,08-May-2020,886.271,-14.246,15.3844,1.0327,2733.6681
GA,08-May-2020,872.2011,15.7651,11.4042,-0.62633,8830.2009
MD,08-May-2020,4614.5892,37.2035,769.1537,64.6524,62051.5038
ML,08-May-2020,11.0002,-1.0032,1.6281,0.055556,42.0699
MC,08-May-2020,414.5756,1.925,4.0048,1.1616,1463.4878
NC,08-May-2020,1583.8208,2.3256,21.7717,-0.12702,4855.785
PV,08-May-2020,3332.4434,159.8347,47.9016,4.96,12934.9748
RI,08-May-2020,1247.4918,28.0812,13.5524,0.084159,3879.0674
AN,06-May-2020,-103.9118,13.132,44.3125,8.5962,11525.8264
AR,06-May-2020,1083.0265,3.2375,33.0375,1.4505,5141.7053
AS,06-May-2020,568.1314,3.7185,41.041,2.7774,2283.247
IB,06-May-2020,83.0989,10.9705,10.0372,1.2126,1909.5729
CN,06-May-2020,,1.2828,13.8721,1.5721,2191.7514
CB,06-May-2020,378.3869,29.0063,1.4817,0.31759,2212.9824
CM,06-May-2020,5076.3433,4.4122,127.6003,8.4215,15528.625
CL,06-May-2020,3677.1401,-8.9302,100.0089,3.5995,17259.4485
CT,06-May-2020,1027,7.684,261.4536,57.9773,47012.5216
CE,06-May-2020,52.6425,0.47784,0.13906,0.057295,100.5346
VC,06-May-2020,1949.2579,22.8069,30.4224,-0.28727,10310.9395
EX,06-May-2020,894.4406,8.3868,25.8417,-0.071615,2837.2403
GA,06-May-2020,821.543,41.7296,9.656,6.6034,8749.6459
MD,06-May-2020,4666.1614,18.0818,436.7591,48.4183,62075.8351
ML,06-May-2020,10.9147,3.4556,0.14223,0.043422,110.4154
MC,06-May-2020,473.2909,14.7661,6.7288,1.4962,1488.5785
NC,06-May-2020,1225.0265,1.3576,24.4093,0.38525,4932.7897
PV,06-May-2020,3256.7859,5.1232,83.509,7.83,12297.7393
RI,06-May-2020,1283.3822,33.1454,26.9641,0.83882,3948.6415
AN,07-May-2020,2514.1828,30.8043,88.3314,9.4962,12329.5861
AR,07-May-2020,911.1215,2.3422,14.1715,0.95442,5153.8786
AS,07-May-2020,567.0253,0.043894,31.1931,2.5561,2293.0935
IB,07-May-2020,81.2262,1.9881,5.0208,5.2528,1892.6921
CN,07-May-2020,,0.7356,5.8793,0.8417,2215.2277
CB,07-May-2020,393.5804,3.5458,0.86307,0.17286,2219.9835
CM,07-May-2020,5846.0748,-2.9711,137.3406,9.383,16095.2859
CL,07-May-2020,4376.1997,2.5452,112.9561,10.2562,17160.5005
CT,07-May-2020,1026.6438,6.842,246.8895,21.4222,50648.6167
CE,07-May-2020,50.9334,1.9674,0.045177,0.037736,100.264
VC,07-May-2020,2262.0534,2.2587,2.2055,4.8443,10380.0091
EX,07-May-2020,909.0888,4.6892,20.9469,-8.298,2760.5988
GA,07-May-2020,871.0002,9.1319,29.8796,5.895,8815.6679
MD,07-May-2020,4643.0269,9.895,250.2758,59.3117,60450.171
ML,07-May-2020,11.0333,3.3653,0.1936,0.037037,99.1843
MC,07-May-2020,440.9778,1.1478,1.2384,1.6318,1462.9376
NC,07-May-2020,1464.0254,3.3247,10.6163,0.46667,4569.9616
PV,07-May-2020,2959.6431,9.2426,52.9088,3.6936,12299.3591
RI,07-May-2020,1304.8387,1.3157,8.3295,0.73535,3835.8183
AN,05-May-2020,2207.8268,9.4669,56.7496,9.8559,12193.5409
AR,05-May-2020,1477.6776,1.8521,38.1535,4.1288,5152.0112
AS,05-May-2020,558.1817,1.338,39.3508,2.2138,2303.7723
IB,05-May-2020,80.7125,1.6931,-0.29906,-2.7814,1918.544
CN,05-May-2020,,3.2116,1.3681,0.52252,2130.8585
CB,05-May-2020,280.3686,15.9651,2.3571,0.1298,1999.2155
CM,05-May-2020,5333.0933,4.9566,-47.2057,6.7257,15960.142
CL,05-May-2020,4070.3465,4.9205,53.7846,1.6734,17136.5263
CT,05-May-2020,1027,147.6018,128.627,40.1738,48246.8029
CE,05-May-2020,52.7471,0.3276,0.058243,0.012565,100.4929
VC,05-May-2020,2300.2005,406.3056,29.3034,-1.3118,10460.1213
